predictor,coefficient
gender_Man,-2.149
sexual_orientation_Pansexual,1.97
sexual_orientation_Queer,1.616
sexual_orientation_Gay,1.532
sexual_orientation_Lesbian,1.346
sexual_orientation_Bisexual,1.343
lonesc,1.088
sexual_orientation_Questioning,1.081
gender_Self-described,-0.839
gender_Trans,-0.481
race_status_Racial minority,-0.273
gender_Genderqueer,-0.201
sexual_orientation_Asexual,0.167
belong_total,-0.163
stigma_perceived,0.101
age,0.087
stigma_self,0.085
gender_Nonbinary,0.036
sexual_orientation_Self-described,-0.005
