predictor,coefficient,p_value
sexual_orientation_Pansexual,2.512,0.0
const,2.459,0.0
sexual_orientation_Queer,1.968,0.0
sexual_orientation_Bisexual,1.639,0.0
sexual_orientation_Lesbian,1.605,0.0
gender_Trans,1.265,0.0
lonesc,1.259,0.0
gender_Self-described,1.241,0.1217
sexual_orientation_Gay,1.233,0.0
sexual_orientation_Questioning,1.178,0.0
sexual_orientation_Self-described,1.021,0.0075
gender_Nonbinary,0.988,0.0
gender_Man,-0.97,0.0
sexual_orientation_Asexual,0.928,0.0005
gender_Genderqueer,0.654,0.0126
race_status_Racial minority,0.509,0.0
belong_total,-0.262,0.0
stigma_self,0.164,0.0
stigma_perceived,0.081,0.0
age,0.026,0.2315
