predictor,coefficient,p_value
sexual_orientation_Pansexual,2.513,0.0
sexual_orientation_Queer,1.98,0.0
sexual_orientation_Bisexual,1.642,0.0
sexual_orientation_Lesbian,1.608,0.0
gender_Trans,1.265,0.0
gender_Self-described,1.259,0.1162
sexual_orientation_Gay,1.234,0.0
sexual_orientation_Questioning,1.169,0.0
lonesc,1.028,0.0
sexual_orientation_Self-described,1.018,0.0077
gender_Nonbinary,0.995,0.0
gender_Man,-0.965,0.0
sexual_orientation_Asexual,0.93,0.0005
gender_Genderqueer,0.656,0.0124
race_status_Racial minority,0.512,0.0
belong_total,-0.264,0.0
stigma_self,0.165,0.0
stigma_perceived,-0.083,0.0377
lonesc_x_stigma,0.029,0.0
age,0.025,0.2521
